math12,catholic,faminc8,math8
50.560001373291016,0,12,54.22999954223633
40.45000076293945,0,10,42.4900016784668
50.25,0,11,47.849998474121094
41.08000183105469,0,7,41.15999984741211
50.38999938964844,0,10,41.68000030517578
49.02000045776367,0,9,51.130001068115234
60.75,0,9,56.5099983215332
54.7599983215332,0,6,57.66999816894531
54.61000061035156,0,11,62.66999816894531
66.08000183105469,0,9,57.5
45.810001373291016,0,7,50.04999923706055
60.900001525878906,0,8,62.599998474121094
62.869998931884766,0,10,75.62000274658203
40.09000015258789,0,7,49.06999969482422
47.689998626708984,0,11,51.130001068115234
50.15999984741211,0,12,51.38999938964844
51.7599983215332,0,11,61.779998779296875
49.36000061035156,0,9,45.43000030517578
52.869998931884766,0,11,57.16999816894531
52.04999923706055,0,6,56.95000076293945
62.4900016784668,0,10,52.220001220703125
35.7400016784668,0,5,42.88999938964844
61.81999969482422,0,11,63.220001220703125
56.900001525878906,0,8,59.93000030517578
44.66999816894531,0,11,47.61000061035156
42.81999969482422,0,11,43.040000915527344
41.470001220703125,0,9,43.9900016784668
42.4900016784668,0,9,40.77000045776367
50.880001068115234,0,10,51.189998626708984
41.45000076293945,0,8,40.22999954223633
60.720001220703125,0,11,59.779998779296875
34.97999954223633,0,9,36.279998779296875
33.06999969482422,0,11,39.41999816894531
40.400001525878906,0,6,41.72999954223633
44.65999984741211,0,11,39.400001525878906
63.040000915527344,0,10,53.95000076293945
60.16999816894531,0,9,55.34000015258789
62.4900016784668,0,10,53.470001220703125
59.08000183105469,0,10,60.290000915527344
64.720001220703125,0,9,63.9900016784668
36.290000915527344,0,9,40.22999954223633
50.529998779296875,0,9,47.65999984741211
35.54999923706055,0,8,40.040000915527344
61.22999954223633,0,7,51.540000915527344
49.72999954223633,0,12,47.790000915527344
50.81999969482422,0,9,47.61000061035156
53.36000061035156,0,7,47.13999938964844
59.95000076293945,0,6,55.90999984741211
53.0099983215332,0,9,46.04999923706055
62.099998474121094,0,11,63.86000061035156
60.880001068115234,0,10,53.5
49.58000183105469,0,8,55.40999984741211
49.91999816894531,0,4,51.09000015258789
49.68000030517578,0,8,52.83000183105469
34.5099983215332,0,10,37.349998474121094
48.61000061035156,0,7,40.79999923706055
40.790000915527344,0,10,38.65999984741211
34.91999816894531,0,11,39.7599983215332
49.779998779296875,0,8,51.63999938964844
42.16999816894531,0,11,42.560001373291016
52.689998626708984,0,10,65.3499984741211
44.88999938964844,0,6,47.380001068115234
47.5,0,12,48.81999969482422
44.5,0,11,43.31999969482422
42,0,9,38.720001220703125
36.16999816894531,0,7,42.220001220703125
64.12999725341797,0,10,69.23999786376953
51.7400016784668,0,4,57.29999923706055
33.709999084472656,0,7,35.22999954223633
41.52000045776367,0,6,51.79999923706055
44.540000915527344,0,10,49.2599983215332
47.9900016784668,0,8,49.06999969482422
46.75,0,11,51.02000045776367
32.459999084472656,0,11,47.560001373291016
61.5,0,5,56.33000183105469
59.880001068115234,0,11,54.5099983215332
47.970001220703125,0,11,39.099998474121094
35.54999923706055,0,11,38.97999954223633
63.52000045776367,0,10,64.51000213623047
45.18000030517578,0,12,44.59000015258789
48.720001220703125,0,12,39.93000030517578
44.97999954223633,0,10,43.599998474121094
46.540000915527344,0,11,61.63999938964844
41.2400016784668,0,7,37.4900016784668
46.34000015258789,0,12,48.08000183105469
62.31999969482422,0,9,60.45000076293945
52.599998474121094,0,11,51.650001525878906
52.439998626708984,0,11,46.790000915527344
40.4900016784668,0,12,43.400001525878906
49.5,0,11,39.5
69.3499984741211,0,8,73.779998779296875
50.79999923706055,0,11,43.439998626708984
39.45000076293945,0,12,35.93000030517578
43.880001068115234,0,10,47.619998931884766
52.25,0,12,56.08000183105469
69.2300033569336,0,10,74.30999755859375
57.11000061035156,0,9,54.58000183105469
55.31999969482422,0,11,46.08000183105469
70.93000030517578,0,11,65.08000183105469
55.58000183105469,0,11,58.959999084472656
41.380001068115234,0,4,45.529998779296875
38.279998779296875,0,3,38.34000015258789
57.22999954223633,0,11,62.2599983215332
45.43000030517578,0,5,46.349998474121094
51.189998626708984,0,9,44.11000061035156
54.16999816894531,0,6,59.79999923706055
45.7400016784668,0,9,45.540000915527344
38.880001068115234,0,9,51.959999084472656
60.81999969482422,0,3,64.58000183105469
